latitude,longitude,datetime,Wildfire,pr,rmax,rmin,sph,srad,tmmn,tmmx,vs,bi,fm100,fm1000,erc,etr,pet,vpd,Wildfire_binary,window_id,days_from_ignition,fire_cluster
35.3514299991093,-108.5885,2021-07-24,Yes,-0.0496340009799763,-0.0380283580113769,-0.0417407713591413,-0.0520777495724183,-0.0550941118451707,-0.0503229154856274,-0.0519615943375158,-0.0527651133076256,-0.0718486101553007,-0.0493689075410598,-0.0532566501247419,-0.0606488399043381,-0.0529823114352504,-0.0523918494406435,-0.0524577200737509,1,126032,11,5
40.8204499990666,-112.8862,2018-09-12,Yes,-0.0531008457841407,-0.0712422241275256,-0.0662662631575224,-0.052082332648326,-0.0456418496267565,-0.050915551577166,-0.047752089383557,-0.053058933785062,-0.0359733478527416,-0.0564225150507996,-0.0572539016719392,-0.0241744337495276,-0.0515718942880095,-0.0518042021631789,-0.0515410735304405,1,124211,4,5
42.0858989990615,-111.489304,2015-07-10,Yes,-0.052336964725596,-0.0544586215688334,-0.0507393330981157,-0.0520805816782997,0.0065818991299817,-0.0523971418060125,-0.053503103193895,-0.0525300569256765,-0.0718486101553007,-0.0515437698565629,-0.0525512527928835,-0.0594722461574087,-0.0519244985748197,-0.051686672707686,-0.0522873178317252,1,19844,0,5
37.3088888990902,-106.8455556,2023-10-28,Yes,-0.0411137891731317,-0.0480396297130529,-0.0407409311659219,-0.0520819213466419,-0.1043640286586546,-0.0575530758023985,-0.0619221131018124,-0.0502382572016724,-0.0718486101553007,-0.0507208489804266,-0.0537269150126474,-0.0582956524104794,-0.0540988916768161,-0.053625908723319,-0.0526163704370161,1,68970,9,5
45.6551999990571,-110.5506,2023-11-23,Yes,-0.0520431643184634,-0.0380283580113769,-0.0366239421350186,-0.0520827204470566,-0.1376832529785645,-0.061168155960784,-0.0641157987820444,-0.0516485954933672,-0.0718486101553007,-0.0511323094184948,-0.0523749034599189,-0.0612371367778028,-0.0548628676315716,-0.0542135560007835,-0.0526810057701983,1,51025,10,5
37.2347499990909,-113.5632,2018-05-11,Yes,-0.0531008457841407,-0.0732444784678608,-0.0660898207704837,-0.0520826440624581,0.0105400339339426,-0.0528119870700895,-0.0491750206355994,-0.0509434263475198,-0.0130367047412693,-0.0574805561772606,-0.0575478172268802,-0.0206446525087395,-0.0486922926123926,-0.0499237308752925,-0.0517114757724662,1,83233,6,5
40.2071329990697,-110.81405,2017-07-18,Yes,-0.0531008457841407,-0.0528097062297338,-0.0569736307734835,-0.0520788542112268,-0.0204752014702288,-0.0490783796933963,-0.0460327141206725,-0.0527651133076256,-0.0406783002858641,-0.0548942334236894,-0.0559606732301989,-0.0341754805984273,-0.050925453095524,-0.051040260702475,-0.0516879720149454,1,75276,9,5
39.2799999990752,-114.163611,2016-09-08,Yes,-0.0531008457841407,-0.0701822071238187,-0.0615023187074771,-0.0520819918555021,-0.0403249521288986,-0.0527527234609357,-0.053503103193895,-0.0521187082572655,-0.0324446335278997,-0.0556583742372445,-0.0564309381181045,-0.0306456993576391,-0.0516306616691445,-0.0518042021631789,-0.0520464043171373,1,4503,5,5
41.0581999990655,-111.533,2015-05-26,Yes,-0.048341279188593,-0.04827518904721,-0.0452696190999156,-0.0520809048439086,-0.0595839363989174,-0.0536416775982436,-0.0553410560611164,-0.0526475851166511,-0.0718486101553007,-0.0498979281042903,-0.0498472296874265,-0.0671201055124497,-0.0530410788163854,-0.0526269083516293,-0.0524342163162301,1,122202,14,5
33.5824899991302,-111.6578,2020-07-04,Yes,-0.0531008457841407,-0.0710066647933685,-0.0639136979970062,-0.0520791127437139,0.0157387781540704,-0.0414333741125481,-0.0396888122886502,-0.0524125287347019,-0.0265634429864966,-0.0567164153637055,-0.058370780780715,-0.0182914650148807,-0.0478695492765021,-0.0490422599590957,-0.0501837315336156,1,67377,6,5
39.5932999990733,-111.3917,2022-04-03,Yes,-0.0531008457841407,-0.0609365032581532,-0.0589733111599222,-0.0520826851926266,-0.0333539087428181,-0.0572567577566292,-0.0568232761153272,-0.0527063492121383,-0.0512644432603897,-0.0537774122346472,-0.0519046385720134,-0.0506477930554385,-0.0528060092918452,-0.0525681436238828,-0.0523519531649074,1,111451,9,5
33.837149999127,-108.9655,2020-04-14,Yes,-0.0531008457841407,-0.0556953080731581,-0.0604436643852449,-0.0520830494884038,-0.0025159032552419,-0.0602199382143222,-0.0581276297630327,-0.0515898313978799,-0.0389139431234431,-0.0529544913585109,-0.0543735292335176,-0.0435882305738622,-0.0523946376239,-0.0522743199851506,-0.0524107125587093,1,114732,13,5
32.2251999991484,-109.8746,2023-07-06,Yes,-0.0531008457841407,-0.0694166392878082,-0.0675601739958063,-0.0520804406605795,0.0020329979373699,-0.0449891906617798,-0.0405781443211767,-0.0516485954933672,-0.0189178952826725,-0.056892755551449,-0.0577241665598448,-0.0206446525087395,-0.0467529690349363,-0.0485721421371241,-0.0504011412906828,1,51027,4,5
33.3061299991337,-110.4537,2018-05-26,Yes,-0.0531008457841407,-0.0800756991584163,-0.0685600141890256,-0.0520826910683649,0.0218827485960396,-0.0485450072110115,-0.0441354724512827,-0.0514723032069054,-0.012448585687129,-0.0576568963650041,-0.0582532145587386,-0.015938277521022,-0.0468705037972064,-0.0487484363203634,-0.0509240998955201,1,106000,14,5
32.4130699991458,-110.7276,2018-07-11,Yes,-0.0470485573972097,-0.0380283580113769,-0.0333891650393089,-0.0520774910399312,-0.0456418496267565,-0.0494932249574733,-0.0537995472047372,-0.0526475851166511,-0.0718486101553007,-0.0498391480417091,-0.0551964927873523,-0.0565307617900853,-0.0532173809597905,-0.0525681436238828,-0.0525928666794954,1,991,3,5
33.4586199991318,-105.733,2018-12-01,Yes,-0.0531008457841407,-0.0616431812606245,-0.0472692994863543,-0.0520828085831318,-0.0974520619114392,-0.0570789669291676,-0.0632264667495179,-0.0477114010957192,-0.0253872048782159,-0.0536598521094849,-0.0530803007917773,-0.0482946055615797,-0.0533936831031956,-0.0532145556290938,-0.0525576110432142,1,126075,1,5
40.4030999990687,-111.55,2015-09-13,Yes,-0.0531008457841407,-0.0749522836404997,-0.0644430251581223,-0.0520820447371472,-0.0650780638133707,-0.0496710157849349,-0.0487599990204204,-0.053058933785062,-0.0406783002858641,-0.0563049549256373,-0.0557255407862461,-0.0318222931045685,-0.0519244985748197,-0.0519804963464183,-0.0516174607423831,1,31602,6,5
